INDEX:10881:<int>,timestamp:10881:<long>,accel_lon:10881:<double>,accel_trans:10881:<double>,accel_down:10881:<double>,speed:10881:<double>
0,1646666459092289,-0.007067052,0.01019091,0.02379812,0.004495375
1,1646666459142313,0.01671414,-0.05345107,-0.09178155,0.001078797
2,1646666459192324,-0.06436347,0.02093201,0.089398,0.001933465
3,1646666459242353,0.08618442,-0.05722215,-0.1383635,0.004307122
4,1646666459292302,-0.08689584,0.03913589,0.1562895,0.00264739
5,1646666459342315,0.07811143,-0.0417581,-0.1289128,0.003977975
6,1646666459392308,-0.07356063,0.06846032,0.1452232,0.005958426
7,1646666459442586,0.08284077,-0.01943234,-0.1118913,0.004989454
8,1646666459492320,-0.0584515,0.02699561,0.04834627,0.001452236
9,1646666459542318,0.04231972,0.01516416,-0.03077471,0.002811329
10,1646666459592398,-0.02687135,0.009612424,-0.02176538,0.0008850889
11,1646666459642323,-0.005463541,0.02079849,0.04314457,0.004192771
12,1646666459692242,0.02418821,-0.02752633,-0.07035058,0.001713914
13,1646666459742342,-0.03954523,0.008369471,0.06617755,0.002318679
14,1646666459792323,0.0710593,-0.07164463,-0.1084056,0.003417672
15,1646666459842337,-0.06379803,0.03086738,0.1273839,0.002407365
16,1646666459892330,0.1123892,-0.06090758,-0.1368871,0.003464242
17,1646666459942341,-0.07922364,0.06995025,0.1781734,0.002022511
18,1646666459992326,0.08412759,-0.0009035542,-0.07681328,0.004794847
19,1646666460042346,-0.06899671,0.06042566,0.07442657,0.001843387
20,1646666460092356,0.04030626,0.02033116,-0.05275702,0.003205963
21,1646666460142452,-0.02955148,0.01426969,0.01670913,0.001660981
22,1646666460192421,0.0189136,0.01376462,-0.0121933,0.002359821
23,1646666460242356,0.009904011,-0.04024923,-0.06929222,0.001477643
24,1646666460292371,-0.05562757,-0.004631791,0.07756575,0.001562285
25,1646666460342378,0.07486014,-0.06285301,-0.1156541,0.0002242231
26,1646666460392420,-0.06804172,0.06284675,0.1678004,0.001439149
27,1646666460442610,0.09603582,-0.03759217,-0.1232937,0.002427616
28,1646666460492428,-0.08539697,0.08396722,0.1867515,0.001001924
29,1646666460542393,0.08367458,-0.03033297,-0.1173814,0.00122521
30,1646666460592421,-0.1019971,0.05177093,0.09982707,0.001823444
31,1646666460642386,0.07602486,-0.0123389,-0.05348255,0.000492721
32,1646666460692342,-0.04295619,0.0007060361,0.007325765,0.001564652
33,1646666460742427,0.04201817,-0.01025014,-0.03639656,0.0004351775
34,1646666460792400,-0.02564146,-0.03192426,-0.02603851,0.002509807
35,1646666460842377,-0.01429106,-0.01555955,0.05480079,0.001783897
36,1646666460892350,0.05493429,-0.0182829,-0.06755544,0.0008638381
37,1646666460942382,-0.0421361,0.03930335,0.1108043,0.002860747
38,1646666460992380,0.08854589,-0.04218088,-0.1016246,0.0001986508
39,1646666461042356,-0.0857854,0.08771519,0.1827232,0.003062314
40,1646666461092434,0.089592,-0.04202884,-0.134958,0.001805665
41,1646666461142454,-0.06836912,0.06890032,0.1163923,0.002140745
42,1646666461192404,0.06574428,-0.03042043,-0.1178828,0.0006181368
43,1646666461242402,-0.06927169,0.02142338,0.07612044,0.003991216
44,1646666461292426,0.04456332,-0.00991181,-0.08039786,0.000686671
45,1646666461342445,-0.05289639,-0.0171859,-0.009518825,0.001789231
46,1646666461392457,0.01617024,-0.03469972,0.01365125,0.002750774
47,1646666461442738,-0.0008952895,-0.05520786,-0.040007,0.00117603
48,1646666461492426,-0.0175137,0.01133609,0.04563663,0.001077693
49,1646666461542485,0.04115056,-0.01134874,-0.061816,0.001566431
50,1646666461592528,-0.07124937,0.08193879,0.1333339,0.001585775
51,1646666461642403,0.07138389,-0.02498802,-0.1084494,0.0009599198
52,1646666461692451,-0.08708268,0.07203644,0.1307913,0.002063121
53,1646666461742454,0.07620519,-0.03298361,-0.1297256,0.001332041
54,1646666461792400,-0.07662485,0.03618105,0.1278953,0.003000116
55,1646666461842430,0.07970321,-0.04620163,-0.1061192,0.001067141
56,1646666461892437,-0.06332693,-0.005451669,0.05529837,0.002695811
57,1646666461942404,0.06703442,-0.02263418,-0.03088491,0.00239116
58,1646666461992497,-0.03537598,-0.01346224,0.01928907,0.001961156
59,1646666462042375,0.003113251,0.02631502,0.02365246,0.00564586
60,1646666462092409,0.00363362,-0.003758136,-0.01826355,0.001341104
61,1646666462142483,-0.04662556,0.06367201,0.08589531,0.001894103
62,1646666462192387,0.0710809,-0.02876592,-0.1020742,0.0030693
63,1646666462242412,-0.07433589,0.0421745,0.105162,0.003471616
64,1646666462292485,0.05656809,-0.07514367,-0.1463514,0.0007424499
65,1646666462342473,-0.07419592,0.02821557,0.102429,0.003325982
66,1646666462392416,0.06814927,-0.04391801,-0.09764042,0.001426214
67,1646666462442670,-0.07311238,0.02854263,0.08010887,0.003553801
68,1646666462492542,0.08498418,-0.03967528,-0.09500993,0.0009826481
69,1646666462542452,-0.06781201,0.003212132,0.06612249,0.001728382
70,1646666462592495,0.04926442,0.002808029,-0.0468868,0.001154493
71,1646666462642532,-0.04973968,0.008245836,0.005255239,0.001582016
72,1646666462692486,0.01819861,0.02120348,0.006190815,0.002537903
73,1646666462742524,-0.02018103,0.02094345,-0.01641297,0.002070071
