INDEX:9881:<int>,timestamp:9881:<long>,accel_lon:9881:<double>,accel_trans:9881:<double>,accel_down:9881:<double>,speed:9881:<double>
0,1584851955897306,-0.02000129,0.02428382,0.06221516,0.1437279
1,1584851955947284,0.05146435,-0.09393895,-0.09764836,0.1428994
2,1584851955997264,-0.04057463,0.02525122,0.08636053,0.1435211
3,1584851956047319,0.0729378,-0.07666767,-0.1100944,0.1416889
4,1584851956097281,-0.06725106,0.0628535,0.1137749,0.1415819
5,1584851956147295,0.09686782,-0.04118571,-0.1270996,0.1403148
6,1584851956197237,-0.09471136,0.09603161,0.1555416,0.1405873
7,1584851956247240,0.07590502,-0.04847729,-0.1414711,0.1393753
8,1584851956297322,-0.09417406,0.07012861,0.1490399,0.1398669
9,1584851956347277,0.1203618,-0.08481666,-0.1798396,0.138117
10,1584851956397104,-0.09189906,0.0326662,0.1688595,0.1385219
11,1584851956447313,0.1156083,-0.09004337,-0.1976549,0.1374065
12,1584851956497269,-0.08697445,0.05713559,0.1787158,0.1378621
13,1584851956547299,0.12227,-0.04914462,-0.1871228,0.1359397
14,1584851956597259,-0.0996252,0.09468618,0.1815318,0.1361805
15,1584851956647295,0.1030291,-0.0447811,-0.14305,0.1351832
16,1584851956697252,-0.1042553,0.07783083,0.1699457,0.1358205
17,1584851956747288,0.1218746,-0.05222998,-0.1629409,0.1343808
18,1584851956797335,-0.09516454,0.009605745,0.142731,0.134264
19,1584851956847271,0.1187469,-0.07701483,-0.1334144,0.1327603
20,1584851956897286,-0.09268554,0.02124163,0.1265059,0.1331424
21,1584851956947260,0.1118561,-0.02596269,-0.1312933,0.132479
22,1584851956997282,-0.1074211,0.04966012,0.1347594,0.1325441
23,1584851957047137,0.08357403,0.007568195,-0.07474138,0.1311246
24,1584851957097270,-0.06764666,0.03183888,0.0751412,0.1312152
25,1584851957147255,0.06787376,-0.008889995,-0.04689418,0.1295833
26,1584851957197292,-0.04932139,-0.01038991,0.04538782,0.1292761
27,1584851957247298,0.05356038,-0.02248276,-0.0122939,0.1288294
28,1584851957297416,-0.0177651,-0.05153885,0.003117858,0.1280277
29,1584851957347259,0.02288566,-0.01692018,-0.007969949,0.1276003
30,1584851957397265,-0.0004220678,-0.04941875,-0.03668222,0.1267115
31,1584851957447285,-0.01774,0.06393389,0.05540161,0.1260786
32,1584851957497273,0.03689008,-0.01565213,-0.06102032,0.125464
33,1584851957547242,-0.03628551,0.08263139,0.07762308,0.1248327
34,1584851957597245,0.06441486,-0.03858573,-0.09206018,0.1238363
35,1584851957647259,-0.08053146,0.04133345,0.1292068,0.1238139
36,1584851957697325,0.1055542,-0.09488068,-0.1717073,0.1225465
37,1584851957747238,-0.08563663,0.0357288,0.136714,0.1227865
38,1584851957797310,0.1229156,-0.1002396,-0.169559,0.1208918
39,1584851957847278,-0.1009281,0.07548338,0.17744,0.1215456
40,1584851957897247,0.1252756,-0.04299088,-0.1994611,0.1195565
41,1584851957947269,-0.1220405,0.1136801,0.213606,0.1198682
42,1584851957997174,0.1153709,-0.02386566,-0.1572553,0.1179774
43,1584851958047318,-0.1007842,0.07574954,0.1665945,0.1187898
44,1584851958097321,0.1050643,-0.05011594,-0.1681849,0.1171791
45,1584851958147280,-0.09045385,0.02678891,0.129777,0.1171805
46,1584851958197259,0.09774184,-0.07177963,-0.1270809,0.116221
47,1584851958247365,-0.07439412,-0.008149168,0.09499016,0.1159663
48,1584851958297297,0.08459894,-0.03880032,-0.06850561,0.1145307
49,1584851958347215,-0.06866158,0.02159685,0.05999473,0.1142858
50,1584851958397287,0.04938846,0.02840977,-0.009375718,0.1130869
51,1584851958447339,-0.02661026,0.01622031,-0.004657157,0.1127497
52,1584851958497287,-0.001665636,0.07316923,0.04278378,0.1124877
53,1584851958547313,0.03807032,-0.06479749,-0.07858409,0.1112246
54,1584851958597282,-0.06142004,0.03547916,0.128431,0.1120674
55,1584851958647328,0.1145226,-0.09090424,-0.182554,0.109546
56,1584851958697219,-0.09734056,0.0322219,0.1694805,0.1099938
57,1584851958747260,0.1350972,-0.09613415,-0.2035852,0.1084683
58,1584851958797396,-0.1361232,0.08235507,0.205348,0.1092838
59,1584851958847279,0.1443321,-0.05475197,-0.1986048,0.107168
60,1584851958897290,-0.1243722,0.06582074,0.1744338,0.1079859
61,1584851958947276,0.1100859,-0.01926794,-0.1486925,0.1058231
62,1584851958997373,-0.09187377,0.05046507,0.1184102,0.1067234
63,1584851959047284,0.08423866,-0.02917964,-0.08050885,0.1046796
64,1584851959097325,-0.05316777,-0.02178695,0.04150223,0.1046503
65,1584851959147279,0.04893435,-0.02573758,-0.0179953,0.1035935
66,1584851959197248,0.01083419,-0.06563262,-0.05365046,0.1034976
67,1584851959247274,-0.02526924,0.007553202,0.07445722,0.1034463
68,1584851959297277,0.07995519,-0.07572941,-0.123052,0.1012171
69,1584851959347273,-0.07473531,0.06380667,0.1515196,0.1016722
70,1584851959397285,0.1152048,-0.02972815,-0.1755145,0.09923794
71,1584851959447370,-0.1233404,0.1250616,0.2025239,0.1002993
72,1584851959497278,0.1249541,-0.04008256,-0.1782805,0.09827823
73,1584851959547294,-0.1215227,0.07953562,0.1939494,0.09884227
74,1584851959597304,0.1299999,-0.07667878,-0.1720254,0.09727104
75,1584851959647352,-0.09628833,0.02291388,0.1397471,0.09717479
76,1584851959697307,0.1194305,-0.07146448,-0.105257,0.0958355
77,1584851959747317,-0.07429428,-0.01240076,0.08040364,0.09626012
78,1584851959797329,0.09251276,-0.0234686,-0.0677781,0.09495974
79,1584851959847355,-0.05815092,0.01550644,0.03372351,0.09434403
80,1584851959897262,0.05261725,0.04916268,0.008476808,0.09384864
81,1584851959947301,0.0191384,0.01435354,-0.03783034,0.09280381
82,1584851959997249,-0.02093505,0.07506233,0.07577173,0.09274857
83,1584851960047242,0.03098688,-0.03579397,-0.07512104,0.09144339
84,1584851960097329,-0.04457063,0.04047708,0.1062441,0.09200626
85,1584851960147293,0.08444048,-0.1025019,-0.1702846,0.08967727
86,1584851960197270,-0.08649408,0.02098064,0.1628662,0.09028067
87,1584851960247300,0.1082304,-0.08254188,-0.1783013,0.08864666
88,1584851960297323,-0.09646076,0.08220385,0.1683646,0.08874851
89,1584851960347277,0.1158342,-0.05102098,-0.1985723,0.08674389
90,1584851960397276,-0.1122785,0.09087428,0.1763644,0.08699553
91,1584851960447333,0.1057809,-0.04206529,-0.1453032,0.08548821
92,1584851960497293,-0.09990119,0.07070302,0.1814923,0.08609419
93,1584851960547317,0.1169151,-0.05543037,-0.1867862,0.08466146
94,1584851960597277,-0.08377241,0.009890085,0.1464445,0.08434968
95,1584851960647413,0.1226196,-0.06172629,-0.1037821,0.08316042
